"state","Care.Stars","Timely.Care","Drug.Teach","Fall.Risk","Depress.Check","Flu.Shot","Pneumo.Shot","Diabetic.Care","Move.Care","Bed.Move","Bath.Check","Breath.Check","Wounds.Care","Drugs.Check","Admit.Hosp","ER.Visit","Ulcers.New","Doctor.Rec","MedCare.Rate","MedCare.Epsodes"
"AL",3.5,93.1,99.1,99.2,95.4,60.9,63.8,93.4,85.4,81.6,87.3,81.4,93.2,77.2,17.1,11.3,0.2,91.5,0.93,654
"AL",4,97.8,99.8,99.9,99.9,76.3,82.5,99.4,84.4,80.8,85.1,86.1,94.9,80,16.8,10.8,0.6,97.4,1.01,20700
"AL",4,99.6,99.8,100,99.6,78.3,72.2,99.1,81.4,77.4,86.8,85.4,90.5,72.9,12.2,17.3,1.1,85.3,1.1,1918
"AL",4.5,98.6,99.7,99.2,89.3,83.3,88.6,97.5,83,82,90.6,89.9,97.5,79.1,13.6,11.8,0,98.1,0.99,1015
"AL",5,99.6,100,100,100,84.8,84.4,100,85.6,85.3,89,93.7,92.1,82.5,14,13.5,0.4,95.6,0.98,1262
"AL",4,99.6,99.1,99.9,96.7,88.2,87.9,98.1,84.4,81.4,90.2,86.9,94.6,75,17.3,9.2,0.4,93,1.13,4538
"AL",5,99,100,99.9,88.8,89.3,84.9,98.9,93.2,86.8,88.8,96.1,96.6,84.3,14.3,13.2,0.4,98.7,0.99,2319
"AL",5,99.4,100,100,99.9,74,74.7,99.7,88.7,85.3,88.8,95.6,95.4,82.8,13.6,16.6,0.4,98.6,1.01,2408
"AL",4.5,99.8,100,100,100,68.7,67.5,99.9,86,84.7,87,95.1,97.6,88.6,16.8,10.3,0.3,99.5,0.99,3377
"AL",3.5,96.8,99.2,99.9,96.6,84.7,85.6,99.1,79.3,77.2,83.5,82.9,90.2,69.9,17.1,11.8,0.3,60.8,1.11,2274
"AL",5,99.7,99.9,100,99.8,69.1,75.2,98.8,85.4,86.8,92.3,89.8,96.6,79.9,16.4,11.4,0.2,99,1.03,3509
"AL",5,99.5,99.7,100,99.5,84.9,87,100,87.7,86.5,87.6,88.4,99.6,85.8,12.8,7.4,0.5,94.3,1.06,249
"AL",4.5,99.7,99.8,100,99.9,83.3,82.1,99.8,86.2,86.3,92.4,88.7,96.8,82.5,17.4,12.4,0.2,99.5,1.02,2651
"AL",4.5,99.9,100,100,99.8,79.8,83.2,99.9,85.2,89.2,87.8,91.3,95.1,80.8,15.7,9.2,0.2,99.6,0.99,1813
"AL",4.5,98.8,99.9,99.9,99.2,78,74,99.8,85.3,84.8,89.5,88.9,98.1,80.1,14.2,14.9,0.3,97.1,0.95,1409
"AL",4.5,98.7,99.8,99.9,79.9,83.9,86.5,96.9,92.5,89.4,94.6,93,89.2,77.5,17.2,12.7,0.5,94,1.08,3093
"AL",4.5,99.7,99.5,100,99.7,84.2,84.1,99.3,82.4,80.6,89.8,94.4,94.3,75.8,16.1,11.2,0.3,69.6,1.09,1332
"AL",4,82.6,99.2,99.6,99.2,59.4,47.5,100,72.5,91.3,84.9,82.2,86.2,81.5,11.6,12.3,0.9,98.5,0.89,295
"AL",3.5,98,99.8,99.5,92.8,87.2,87.2,96.9,74.8,76.9,80.5,86.2,85.7,64,14.9,11,0.5,97.8,1.02,2468
"AL",4.5,99.1,100,100,98.7,85.2,92.1,97.4,83.3,83.4,90.2,88.4,90.1,77.2,13.7,12.1,0.2,97.1,1.09,1333
